fdc_id,description,brand_owner,brand_name,ingredients,serving_size,serving_size_unit,food_category,search_category
2487083,"WHEAT BREAD, WHEAT",Northern Tier Bakery LLC,SUPER MOM'S,"ENRICHED UNBLEACHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER CRACKED WHOLE WHEAT, HIGH FRUCTOSE CORN SYRUP YEAST, ROLLED WHOLE WHEAT, WHEAT GLUTEN, MOLASSES, CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, SOYBEAN OIL, HONEY VINEGAR CARAMEL COLOR DOUGH CONDITIONERS (MONOGLYCERIDES, SODIUM STEAROYL LACTYLATE, ASCORBIC ACID, CALCIUM SULFATE, ENZYMES). MONOCALCIUM PHOSPHATE, CALCIUM PROPIONATE (PRESERVATIVE).",41.0,g,Breads & Buns,wheat
2054831,"WHEAT BREAD, WHEAT","Supervalu, Inc.",ALBERTSONS,"ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHOLE WHEAT FLOUR, HIGH FRUCTOSE CORN SYRUP, YEAST SOYBEAN OIL, WHEAT BRAN, WHEAT GLUTEN, SALT, CALCIUM SULFATE, SODIUM STEAROYL LACTYLATE, CARAMEL COLOR, MONOGLYCERIDES, CALCIUM PROPIONATE (PRESERVATIVE), MONOCALCIUM PHOSPHATE, CORNSTARCH, SOY LECITHIN AZODICARBONAMIDE, SOY FLOUR.",45.0,g,Breads & Buns,wheat
2099641,"WHEAT BREAD, WHEAT","Supervalu, Inc.",ALBERTSONS,"ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHOLE WHEAT FLOUR, HIGH FRUCTOSE CORN SYRUP, YEAST, WHEAT BRAN, SOYBEAN OIL, WHEAT GLUTEN, SALT, MOLASSES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONOGLYCERIDES, CALCIUM SULFATE, SOY LECITHIN, CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE, CORNSTARCH.",26.0,g,Breads & Buns,wheat
2076989,"WHEAT BREAD, WHEAT","Flowers Foods, Inc.",MRS. FRESHLEY'S,"INGREDIENTS: ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER WHOLE WHEAT FLOUR, HIGH FRUCTOSE CORN SYRUP, YEAST, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: WHEAT GLUTEN, SOYBEAN OIL, SALT, DOUGH CONDITIONERS (CONTAINS ONE OR MORE OF THE FOLLOWING: SODIUM STEAROYL LACTYLATE, CALCIUM STEAROYL-2-LACTYLATE, MONO- AND DIGLYCERIDES, CALCIUM PEROXIDE, CALCIUM IODATE, DATEM, ETHOXYLATED MONO- AND DIGLYCERIDES, AZODICARBONAMIDE), CALCIUM SULFATE, AMMONIUM SULFATE, MONOCALCIUM PHOSPHATE, ENZYMES, SOY LECITHIN, SOY FLOUR, CALCIUM PROPIONATE (TO RETARD SPOILAGE).",26.0,g,Breads & Buns,wheat
2168190,"WHEAT BREAD, WHEAT",The Kroger Co.,GOOD TO DOUGH,"WHOLE WHEAT FLOUR, ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY, NIACIN REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SUGAR, YEAST, CONTAINS 2% OR LESS OF: SALT, MOLASSES, SOYBEAN OIL, WHEAT GLUTEN, SODIUM STEAROYL LACTYLATE, AMMONIUM SULFATE, CALCIUM SULFATE, ASCORBIC ACID, ENZYMES, CALCIUM PROPIONATE (PRESERVATIVE).",27.0,g,Breads & Buns,wheat
2425703,"WHEAT BREAD, WHEAT","Express Trading International, Inc.",EXTRAORDINARY BITES,"WATER, MODIFIED WHEAT STARCH, WHEAT GLUTEN YEAST. WHEAT BRAN, ALLULOSE, FULLY REFINED SOYBEAN OIL. OAT FIBER, INULIN, GROUND FLAX SEEDS. SALT. CULTURED WHEAT FLOUR, VINEGAR",25.0,g,Breads & Buns,wheat
2631789,"WHEAT BREAD, WHEAT",The Kroger Co.,SIMPLE TRUTH,"ORGANIC WHEAT FLOUR, WATER, ORGANIC WHOLE WHEAT FLOUR, ORGANIC DARK BROWN SUGAR, ORGANIC WHEAT BRAN, ORGANIC HONEY, YEAST, CONTAINS 2% OR LESS OF THE FOLLOWING: ORGANIC VITAL WHEAT GLUTEN, ORGANIC SOYBEAN OIL, ORGANIC CULTURED WHEAT FLOUR, SEA SALT, ORGANIC SOY FLOUR, ENZYMES, ORGANIC VINEGAR, ASCORBIC ACID.",29.0,GRM,Breads & Buns,wheat
1956886,"WHEAT BREAD, WHEAT",Stater Bros. Markets Inc.,ARTISAN STYLE,"ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, AND FOLIC ACID), WATER, WHOLE WHEAT FLOUR, SUGAR, WHEAT GLUTEN, YEAST, HONEY, SALT, SOYBEAN OIL, DIACETYL TARTARIC ACID ESTERS OF MONO-DIGLYCERIDES (DATEM), OLIVE OIL, CALCIUM PROPIONATE (PRESERVATIVE), MOLASSES, VINEGAR, WHEAT BRAN, CALCIUM SULFATE, ASCORBIC ACID, ENZYMES.",35.0,g,Breads & Buns,wheat
2158824,"WHEAT BREAD, WHEAT","Flowers Foods, Inc.",SARA LEE,"ENRICHED WHEAT FLOUR, [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID]; WATER, WHOLE WHEAT FLOUR, WHEAT GLUTEN, CELLULOSE FIBER, WHEAT BRAN, YEAST, MODIFIED WHEAT STARCH, SUGAR, HONEY, SALT, SOYBEAN OIL, NATURAL FLAVOR, CALCIUM PROPIONATE (PRESERVATIVE), MONO- AND DIGLYCERIDES, DATEM, SODIUM STEAROYL LACTYLATE, MONOCALCIUM PHOSPHATE, CELLULOSE GUM, CALCIUM SULFATE, CORNSTARCH, REB A (NATURAL STEVIA LEAF SWEETENER), SOY LECITHIN, GRAIN VINEGAR, HONEY SOLIDS, POTASSIUM IODATE, SOY FLOUR.",45.0,g,Breads & Buns,wheat
2460789,"WHEAT BREAD, WHEAT","Bimbo Bakeries USA, Inc.",SELECT,"ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHOLE WHEAT FLOUR, SUGAR, YEAST, VEGETABLE OIL (SOYBEAN), WHEAT BRAN, WHEAT GLUTEN, SALT, MOLASSES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONOGLYCERIDES, SOY LECITHIN, CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE.",26.0,g,Breads & Buns,wheat
2473396,"WHEAT BREAD, WHEAT","Bimbo Bakeries USA, Inc.",TOWN TALK,"ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], WATER, WHOLE WHEAT FLOUR, SUGAR, YEAST, SOYBEAN OIL, WHEAT BRAN, WHEAT GLUTEN, SALT, MOLASSES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONOGLYCERIDES, CALCIUM SULFATE, SOY LECITHIN, CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE.",47.0,g,Breads & Buns,wheat
2145634,"WHEAT BREAD, WHEAT","Publix Super Markets, Inc.",PUBLIX,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, WHOLE WHEAT FLOUR, HIGH FRUCTOSE CORN SYRUP, CONTAINS 2% OR LESS OF: WHEAT GLUTEN, YEAST, SALT, SOYBEAN OIL, DOUGH CONDITIONERS (ONE OR MORE OF: SODIUM STEAROYL LACTYLATE, CALCIUM STEAROYL LACTYLATE, MONOGLYCERIDES, MONO- AND DIGLYCERIDES, DISTILLED MONOGLYCERIDES, CALCIUM PEROXIDE, CALCIUM IODATE, DATEM, ETHOXYLATED MONO- AND DIGLYCERIDES, ENZYMES, ASCORBIC ACID), CALCIUM SULFATE, SOY LECITHIN, CALCIUM CARBONATE, MONOCALCIUM PHOSPHATE, SOY FLOUR, CALCIUM PROPIONATE (TO PRESERVE FRESHNESS).",26.0,g,Breads & Buns,wheat
2152898,"WHEAT BREAD, WHEAT",United States Bakery,MONTANA'S SWEETHEART BAKING COMPANY,"ENRICHED UNBLEACHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMIN MONONITRATE, RIBOFLAVIN AND FOLIC ACID), WATER, WHOLE WHEAT FLOUR, SUGAR, VITAL WHEAT GLUTEN, YEAST, CONTAINS 2% OR LESS OF EACH OF THE FOLLOWING: HONEY, VEGETABLE OIL (CANOLA AND/OR SOY), SALT, DISTILLED VINEGAR, DOUGH CONDITIONER (ASCORBIC ACID), CULTURED WHEAT FLOUR, CALCIUM SULFATE, ENZYMES, NONFAT DRY MILK, SOY FLOUR.",32.0,g,Breads & Buns,wheat
2632046,"WHEAT BREAD, WHEAT","Safeway, Inc.",SIGNATURE SELECT,"ENRICHED WHEAT FLOUR (FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, WHOLE WHEAT FLOUR, SUGAR, YEAST, VEGETABLE OIL (SOYBEAN), WHEAT BRAN, WHEAT GLUTEN, SALT, MOLASSES, CALCIUM PROPIONATE (PRESERVATIVE), DATEM, MONOGLYCERIDES, SOY LECITHIN, CITRIC ACID, GRAIN VINEGAR, POTASSIUM IODATE, MONOCALCIUM PHOSPHATE, SESAME SEEDS.",26.0,GRM,Breads & Buns,wheat
2637077,"WHEAT BREAD, WHEAT","Meijer, Inc.",PENNY SMART,"ENRICHED FLOUR [UNBLEACHED WHEAT FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, THIAMINE MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), NIACIN (VITAMIN B3), FOLIC ACID], WATER, WHOLE GRAIN WHEAT FLOUR, YEAST, HIGH FRUCTOSE CORN SYRUP, SOYBEAN OIL, WHEAT GLUTEN, WHEAT BRAN, SALT, MONOGLYCERIDES, MOLASSES, WHEAT STARCH, CALCIUM PROPIONATE (A PRESERVATIVE), SODIUM STEAROYL LACTYLATE, MODIFIED WHEY, CARAMEL COLOR, VINEGAR, CALCIUM SULFATE, CITRIC ACID, ASCORBIC ACID, SOY LECITHIN.",45.0,GRM,Breads & Buns,wheat
2382220,"WHEAT BREAD, WHEAT","Bimbo Bakeries USA, Inc.",BROWNBERRY,"CRACKED WHEAT, WATER, ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], SUGAR, SOYBEAN OIL, SALT, CULTURED WHEAT FLOUR, YEAST, WHEAT GLUTEN, GRAIN VINEGAR, SOY LECITHIN, CITRIC ACID, SOY, WHEY.",36.0,g,Breads & Buns,wheat
2600062,"WHEAT BREAD, WHEAT","Safeway, Inc.",JEWEL,"UNBLEACHED ENRICHED WHEAT FLOUR (FLOUR, BARLEY MALT, NIACIN [VITAMIN B3], IRON, THIAMIN MONONITRATE [VITAMIN B1], RIBOFLAVIN [VITAMIN B2], FOLIC ACID [VITAMIN B9]), WATER, YEAST, WHOLE WHEAT FLOUR, SUGAR, WHEAT GLUTEN, CONTAINS 2% OR LESS OF THE FOLLOWING: MOLASSES, SALT, SOYBEAN OIL, DOUGH CONDITIONER (MONO AND DIGLYCERIDES, SODIUM STEAROYL LACTYLATE, ASCORBIC ACID), CALCIUM PROPIONATE AND SORBIC ACID (TO RETAIN FRESHNESS), FUMARIC ACID, YEAST NUTRIENTS (AMMONIUM SULFATE, MONOCALCIUM PHOSPHATE), SOY LECITHIN.",45.0,GRM,Breads & Buns,wheat
2105056,"WHEAT BREAD, WHEAT",Schwebel Baking Company,SCHWEBEL'S,"ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, OAT FIBER, WHEAT GLUTEN, CORN SYRUP, YEAST, WHEAT BRAN, CONTAINS 2% OR LESS OF THE FOLLOWING: WHOLE WHEAT FLOUR, SOY FIBER, SALT, CULTURED WHEAT FLOUR, VINEGAR, SOYBEAN OIL, CALCIUM SULFATE, CELLULOSE GUM, GUAR GUM, XANTHAN GUM, BARLEY FIBER, WHITE RYE FLOUR, GUM COLLOID, ETHOXYLATED MONO & DIGLYCERIDES, MONO & DIGLYCERIDES, CARAMEL COLOR, AMMONIUM SULFATE, SOY LECITHIN.",41.0,g,Breads & Buns,wheat
2602727,"WHEAT BREAD, WHEAT","Perfection Bakeries, Inc.",AUNT MILLIE'S,"RESISTANT WHEAT STARCH, WATER, WHEAT GLUTEN+, WHEAT PROTEIN ISOLATE+, YEAST, ALLULOSE++, OAT FIBER+, WHEAT BRAN, INULIN+, SOYBEAN OIL, SALT, VINEGAR, CALCIUM PROPIONATE (A PRESERVATIVE), GUAR GUM, POTASSIUM CHLORIDE, WHEAT STARCH, DEXTROSE+, NATURAL FLAVOR+, CORN STARCH, SOYBEAN OIL (HYDROGENATED), SORBIC ACID (A PRESERVATIVE), ASCORBIC ACID, NATAMYCIN (A PRESERVATIVE), SESAME.",28.0,GRM,Breads & Buns,wheat
2473999,"WHEAT BREAD, WHEAT",Lewis Bakeries Inc.,HART'S,"WHOLE WHEAT FLOUR, WATER, YEAST, SUGAR, WHEAT GLUTEN, CONTAINS 2% OR LESS OF THE FOLLOWING: SOYBEAN OIL, SALT, HONEY, DOUGH CONDITIONER (MONO- AND DI-GLYCERIDES, ETHOXYLATED MONO- AND DI-GLYCERIDES, SODIUM STEAROYL LACTYLATE, ASCORBIC ACID), CALCIUM PROPIONATE AND SORBIC ACID (TO RETAIN FRESHNESS), FUMARIC ACID, WHEAT STARCH, YEAST NUTRIENTS (CALCIUM SULFATE, MONOCALCIUM PHOSPHATE, AMMONIUM SULFATE), HYDROGENATED VEGETABLE OIL, SOY LECITHIN.",50.0,g,Breads & Buns,wheat
2392660,"WHEAT BREAD, WHEAT","Bimbo Bakeries USA, Inc.",BROWNBERRY,"CRACKED WHEAT, WATER, UNBLEACHED ENRICHED WHEAT FLOUR [FLOUR, MALTED BARLEY FLOUR, REDUCED IRON, NIACIN, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID], SUGAR, SOYBEAN OIL, SALT, YEAST, WHEAT GLUTEN, CALCIUM SULFATE, GRAIN VINEGAR, CULTURED WHEAT STARCH, SOY LECITHIN, CALCIUM CARBONATE, CITRIC ACID, SOY, WHEY.",36.0,g,Breads & Buns,wheat
2151815,"WHEAT BREAD, WHEAT","Safeway, Inc.",SIGNATURE SELECT,"UNBLEACHED ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, IRON, THIAMIN HYDROCHLORIDE, RIBOFLAVIN, FOLIC ACID), WATER, OAT FIBER, SUGAR, YEAST, WHEAT BRAN, WHEAT GLUTEN, CONTAINS LESS THAN 2% OF: SALT, SOYBEAN AND/ OR CANOLA OIL, YEAST NUTRIENTS (CALCIUM SULFATE, MONOCALCIUM PHOSPHATE, AMMONIUM SULFATE), GUAR GUM, DOUGH CONDITIONERS (SODIUM STEAROYL LACTYLATE, MONOGLYCERIDES, MONO AND DIGLYCERIDES, ASCORBIC ACID, ENZYMES), PRESERVATIVES (CALCIUM PROPIONATE, PROPIONIC ACID, PHOSPHORIC ACID), MALTED BARLEY FLOUR, CARAMEL COLORING, SOY LECITHIN.",41.0,g,Breads & Buns,wheat
1804983,"WHEAT CRACKERS, WHEAT",Industrias Alimenticias Noel,DUX,"ENRICHED FLOUR (WHEAT FLOUR, NIACIN, IRON, THIAMINE, RIBOFLAVIN, FOLIC ACID), VEGETABLE OIL PALM*, VEGETABLE SHORTENING PALM*, WHEAT BRAN, SUGAR, SALT, WATER, INVERT SUGAR, LEAVENINGS (SODIUM BICARBONATE, SODIUM ACID PYROPHOSPHATE), EMULSIFIER (SOY LECITHIN), DOUGH CONDITIONER (SODIUM METABISULPHITE), YEAST, YEAST FOOD, NATURAL HONEY FLAVOR AND ARTIFICIAL BUTTER FLAVOR, COLOR (CARAMEL).",27.0,g,Crackers & Biscotti,wheat
1927806,"WHEAT CRACKERS, WHEAT","Brandless, Inc",BRANDLESS,"ORGANIC WHEAT FLOUR, ORGANIC WHOLE WHEAT FLOUR, ORGANIC HIGH OLEIC SUNFLOWER OIL, AND/OR ORGANIC HIGH OLEIC SAFFLOWER OIL, AND/OR ORGANIC PALM OIL, ORGANIC SUGAR, ORGANIC CRACKED WHEAT, CONTAINS LESS THAN 2% OF EACH OF THE FOLLOWING: ORGANIC CANE SYRUP, ORGANIC CORN STARCH, SEA SALT, ORGANIC MALT EXTRACT, MONOCALCIUM PHOSPHATE, BAKING SODA, ORGANIC ANNATTO EXTRACT COLOR, TOCOPHEROLS (TO RETAIN FRESHNESS).",30.0,g,Crackers & Biscotti,wheat
2022249,"WHEAT LOAF, WHEAT",Aspire Bakeries LLC,LA BREA BAKERY,"UNBLEACHED ENRICHED FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, WHOLE WHEAT FLOUR, SOUR CULTURE, HONEY, ROLLED WHEAT FLAKES, CONTAINS 2% OR LESS OF: SALT, WHEAT BRAN, YEAST, SEMOLINA.",57.0,g,Breads & Buns,wheat
1970347,"WHEAT LOAVES, WHEAT","American Bakery Products, Inc.",LAWASH,"WATER, STONE GROUND WHOLE WHEAT FLOUR, UNBLEACHED UNBROMATED ENRICHED WHEAT FLOUR (NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), POWDERED CELLULOSE, FLAX FLOUR, WHEAT GLUTEN, CONTAINS 2% OR LESS OF THE FOLLOWING: CALCIUM PROPIONATE, POTASSIUM SORBATE, SALT, GUAR GUM.",45.0,g,Mexican Dinner Mixes,wheat
2545206,"WHEAT LOAVES, WHEAT","American Bakery Products, Inc.",LAWASH,"WATER, STONE GROUND WHOLE WHEAT FLOUR, WHEAT GLUTEN, OAT FIBER, FLAX FLOUR, CONTAINS 2% OR LESS OF THE FOLLOWING: CALCIUM PROPIONATE, POTASSIUM SORBATE, SALT, GUAR GUM.",45.0,GRM,Breads & Buns,wheat
